
TEST CASES
case	Number of drinks	discount type	drink type	size	payment type	pairings
1	1	None	Coffee	Small	Cash	10
2	1	Student	Tea	Regular	Credit	10
3	1	Teacher	Soda	Large	Debit	10
4	4	None	Tea	Large	Cash	9
5	4	Student	Coffee	Grande	Debit	10
6	4	Teacher	Slushy	Small	Credit	10
7	7	None	Soda	Regular	Credit	9
8	7	Student	Slushy	Large	Cash	9
9	7	Teacher	Coffee	Regular	Cash	7
10	7	Military	Tea	Small	Debit	10
11	12	None	Slushy	Grande	Debit	9
12	12	Military	Coffee	Large	Credit	10
13	12	Frequent	Soda	Small	Cash	9
14	17	Military	Cappuccino	Regular	Cash	9
15	17	Frequent	Tea	Grande	Credit	9
16	17	Coupon	Soda	Grande	Cash	7
17	17	Employee	Slushy	Regular	Debit	8
18	20	Frequent	Cappuccino	Large	Debit	9
19	20	Coupon	Cappuccino	Small	Credit	8
20	20	Employee	Coffee	Grande	Cash	7
21	31	Coupon	Coffee	Regular	Debit	7
22	31	Employee	Cappuccino	Small	Credit	7
23	31	Student	Soda	Small	Cash	5
24	50	Teacher	Cappuccino	Grande	Cash	7
25	50	Military	Soda	Large	Credit	5
26	50	Frequent	Coffee	Regular	Debit	6
27	1	Military	Slushy	Grande	~Credit	5
28	4	Coupon	Tea	Regular	~Cash	3
29	7	Coupon	Slushy	Large	~Credit	3
30	7	Employee	Tea	Grande	~Debit	3
31	12	Employee	Soda	Regular	~Credit	3
32	17	None	Coffee	Small	~Credit	3
33	20	None	Soda	Regular	~Debit	3
34	31	Teacher	Tea	Large	~Debit	4
35	31	Frequent	Slushy	Grande	~Cash	4
36	50	Student	Cappuccino	Small	~Debit	3
37	1	Employee	Cappuccino	Large	~Cash	3
38	4	Military	Soda	~Grande	~Debit	2
39	4	Frequent	Cappuccino	~Regular	~Credit	2
40	12	Student	Tea	~Small	~Cash	2
41	12	Teacher	Cappuccino	~Grande	~Credit	2
42	17	Student	~Coffee	Large	~Credit	2
43	20	Military	Slushy	~Small	~Cash	2
44	20	None	Tea	~Large	~Credit	1
45	50	None	Slushy	~Regular	~Cash	2
46	50	Coupon	Tea	~Small	~Debit	2
47	7	None	Cappuccino	~Grande	~Debit	2
48	1	Frequent	~Slushy	~Small	~Debit	1
49	12	Coupon	~Coffee	~Large	~Debit	1
50	17	Teacher	~Tea	~Small	~Debit	1
51	31	Military	~Coffee	~Regular	~Credit	1
52	50	Employee	~Coffee	~Large	~Credit	1
53	1	Coupon	~Soda	~Grande	~Credit	1
54	4	Employee	~Soda	~Small	~Cash	1
55	7	Frequent	~Coffee	~Small	~Cash	1
56	20	Student	~Soda	~Regular	~Debit	1
57	20	Teacher	~Slushy	~Regular	~Credit	1
58	31	None	~Cappuccino	~Large	~Cash	1

PAIRING DETAILS
var1	var2	value1	value2	appearances	cases
Number of drinks	discount type	1	None	1	1
Number of drinks	discount type	1	Student	1	2
Number of drinks	discount type	1	Teacher	1	3
Number of drinks	discount type	1	Military	1	27
Number of drinks	discount type	1	Frequent	1	48
Number of drinks	discount type	1	Coupon	1	53
Number of drinks	discount type	1	Employee	1	37
Number of drinks	discount type	4	None	1	4
Number of drinks	discount type	4	Student	1	5
Number of drinks	discount type	4	Teacher	1	6
Number of drinks	discount type	4	Military	1	38
Number of drinks	discount type	4	Frequent	1	39
Number of drinks	discount type	4	Coupon	1	28
Number of drinks	discount type	4	Employee	1	54
Number of drinks	discount type	7	None	2	7, 47
Number of drinks	discount type	7	Student	1	8
Number of drinks	discount type	7	Teacher	1	9
Number of drinks	discount type	7	Military	1	10
Number of drinks	discount type	7	Frequent	1	55
Number of drinks	discount type	7	Coupon	1	29
Number of drinks	discount type	7	Employee	1	30
Number of drinks	discount type	12	None	1	11
Number of drinks	discount type	12	Student	1	40
Number of drinks	discount type	12	Teacher	1	41
Number of drinks	discount type	12	Military	1	12
Number of drinks	discount type	12	Frequent	1	13
Number of drinks	discount type	12	Coupon	1	49
Number of drinks	discount type	12	Employee	1	31
Number of drinks	discount type	17	None	1	32
Number of drinks	discount type	17	Student	1	42
Number of drinks	discount type	17	Teacher	1	50
Number of drinks	discount type	17	Military	1	14
Number of drinks	discount type	17	Frequent	1	15
Number of drinks	discount type	17	Coupon	1	16
Number of drinks	discount type	17	Employee	1	17
Number of drinks	discount type	20	None	2	33, 44
Number of drinks	discount type	20	Student	1	56
Number of drinks	discount type	20	Teacher	1	57
Number of drinks	discount type	20	Military	1	43
Number of drinks	discount type	20	Frequent	1	18
Number of drinks	discount type	20	Coupon	1	19
Number of drinks	discount type	20	Employee	1	20
Number of drinks	discount type	31	None	1	58
Number of drinks	discount type	31	Student	1	23
Number of drinks	discount type	31	Teacher	1	34
Number of drinks	discount type	31	Military	1	51
Number of drinks	discount type	31	Frequent	1	35
Number of drinks	discount type	31	Coupon	1	21
Number of drinks	discount type	31	Employee	1	22
Number of drinks	discount type	50	None	1	45
Number of drinks	discount type	50	Student	1	36
Number of drinks	discount type	50	Teacher	1	24
Number of drinks	discount type	50	Military	1	25
Number of drinks	discount type	50	Frequent	1	26
Number of drinks	discount type	50	Coupon	1	46
Number of drinks	discount type	50	Employee	1	52
Number of drinks	drink type	1	Coffee	1	1
Number of drinks	drink type	1	Tea	1	2
Number of drinks	drink type	1	Soda	2	3, 53
Number of drinks	drink type	1	Slushy	2	27, 48
Number of drinks	drink type	1	Cappuccino	1	37
Number of drinks	drink type	4	Coffee	1	5
Number of drinks	drink type	4	Tea	2	4, 28
Number of drinks	drink type	4	Soda	2	38, 54
Number of drinks	drink type	4	Slushy	1	6
Number of drinks	drink type	4	Cappuccino	1	39
